x-axis,F1
Hertz,dBV
+138.0000E+00,-57.31304E+00
+138.5000E+00,-57.51884E+00
+139.0000E+00,-57.60998E+00
+139.5000E+00,-57.70111E+00
+140.0000E+00,-57.79225E+00
+140.5000E+00,-57.88339E+00
+141.0000E+00,-57.78559E+00
+141.5000E+00,-57.59308E+00
+142.0000E+00,-57.40057E+00
+142.5000E+00,-57.20805E+00
+143.0000E+00,-57.01554E+00
+143.5000E+00,-57.58233E+00
+144.0000E+00,-58.23564E+00
+144.5000E+00,-58.88896E+00
+145.0000E+00,-59.54227E+00
+145.5000E+00,-60.11142E+00
+146.0000E+00,-60.11398E+00
+146.5000E+00,-60.11654E+00
+147.0000E+00,-60.11910E+00
+147.5000E+00,-60.12166E+00
+148.0000E+00,-60.21773E+00
+148.5000E+00,-60.47936E+00
+149.0000E+00,-60.74099E+00
+149.5000E+00,-61.00263E+00
+150.0000E+00,-61.26426E+00
+150.5000E+00,-60.32592E+00
+151.0000E+00,-58.56259E+00
+151.5000E+00,-56.79926E+00
+152.0000E+00,-55.03593E+00
+152.5000E+00,-53.27261E+00
+153.0000E+00,-51.65782E+00
+153.5000E+00,-50.07472E+00
+154.0000E+00,-48.49161E+00
+154.5000E+00,-46.90851E+00
+155.0000E+00,-45.37181E+00
+155.5000E+00,-44.61969E+00
+156.0000E+00,-43.86756E+00
+156.5000E+00,-43.11543E+00
+157.0000E+00,-42.36330E+00
+157.5000E+00,-41.78633E+00
+158.0000E+00,-41.64348E+00
+158.5000E+00,-41.50063E+00
+159.0000E+00,-41.35778E+00
+159.5000E+00,-41.21494E+00
+160.0000E+00,-41.35488E+00
+160.5000E+00,-41.75680E+00
+161.0000E+00,-42.15872E+00
+161.5000E+00,-42.56064E+00
+162.0000E+00,-42.96256E+00
+162.5000E+00,-43.79190E+00
+163.0000E+00,-44.76317E+00
+163.5000E+00,-45.73443E+00
+164.0000E+00,-46.70570E+00
+164.5000E+00,-47.67696E+00
+165.0000E+00,-49.72206E+00
+165.5000E+00,-51.78645E+00
+166.0000E+00,-53.85083E+00
+166.5000E+00,-55.91521E+00
+167.0000E+00,-57.99264E+00
+167.5000E+00,-60.11795E+00
+168.0000E+00,-62.24326E+00
+168.5000E+00,-64.36857E+00
+169.0000E+00,-66.49388E+00
+169.5000E+00,-67.53819E+00
+170.0000E+00,-67.23765E+00
+170.5000E+00,-66.93710E+00
+171.0000E+00,-66.63656E+00
+171.5000E+00,-66.33602E+00
+172.0000E+00,-67.52338E+00
+172.5000E+00,-69.41982E+00
+173.0000E+00,-71.31627E+00
+173.5000E+00,-73.21272E+00
+174.0000E+00,-75.10917E+00
+174.5000E+00,-77.23596E+00
+175.0000E+00,-79.38585E+00
+175.5000E+00,-81.53574E+00
+176.0000E+00,-83.68562E+00
+176.5000E+00,-85.33116E+00
+177.0000E+00,-83.89142E+00
+177.5000E+00,-82.45167E+00
+178.0000E+00,-81.01193E+00
+178.5000E+00,-79.57218E+00
+179.0000E+00,-79.09939E+00
+179.5000E+00,-80.25804E+00
+180.0000E+00,-81.41670E+00
+180.5000E+00,-82.57535E+00
+181.0000E+00,-83.73401E+00
+181.5000E+00,-82.72817E+00
+182.0000E+00,-80.30180E+00
+182.5000E+00,-77.87544E+00
+183.0000E+00,-75.44907E+00
+183.5000E+00,-73.02270E+00
+184.0000E+00,-71.61174E+00
+184.5000E+00,-70.40086E+00
+185.0000E+00,-69.18998E+00
+185.5000E+00,-67.97910E+00
+186.0000E+00,-66.77930E+00
+186.5000E+00,-65.73380E+00
+187.0000E+00,-64.68829E+00
+187.5000E+00,-63.64279E+00
+188.0000E+00,-62.59728E+00
+188.5000E+00,-62.31325E+00
+189.0000E+00,-63.81751E+00
+189.5000E+00,-65.32176E+00
+190.0000E+00,-66.82602E+00
+190.5000E+00,-68.33028E+00
+191.0000E+00,-67.47818E+00
+191.5000E+00,-64.53879E+00
+192.0000E+00,-61.59940E+00
+192.5000E+00,-58.66001E+00
+193.0000E+00,-55.72062E+00
+193.5000E+00,-53.71667E+00
+194.0000E+00,-52.00505E+00
+194.5000E+00,-50.29344E+00
+195.0000E+00,-48.58182E+00
+195.5000E+00,-46.87020E+00
+196.0000E+00,-45.97961E+00
+196.5000E+00,-45.09436E+00
+197.0000E+00,-44.20911E+00
+197.5000E+00,-43.32387E+00
+198.0000E+00,-42.55528E+00
+198.5000E+00,-42.18818E+00
+199.0000E+00,-41.82107E+00
+199.5000E+00,-41.45397E+00
+200.0000E+00,-41.08687E+00
+200.5000E+00,-40.97983E+00
+201.0000E+00,-41.18207E+00
+201.5000E+00,-41.38431E+00
+202.0000E+00,-41.58655E+00
+202.5000E+00,-41.78879E+00
+203.0000E+00,-42.58318E+00
+203.5000E+00,-43.64558E+00
+204.0000E+00,-44.70798E+00
+204.5000E+00,-45.77038E+00
+205.0000E+00,-46.83278E+00
+205.5000E+00,-49.78131E+00
+206.0000E+00,-52.89376E+00
+206.5000E+00,-56.00621E+00
+207.0000E+00,-59.11866E+00
+207.5000E+00,-62.00777E+00
+208.0000E+00,-63.64770E+00
+208.5000E+00,-65.28764E+00
+209.0000E+00,-66.92757E+00
+209.5000E+00,-68.56751E+00
+210.0000E+00,-68.91808E+00
+210.5000E+00,-67.19418E+00
+211.0000E+00,-65.47028E+00
+211.5000E+00,-63.74637E+00
+212.0000E+00,-62.02247E+00
+212.5000E+00,-61.59352E+00
+213.0000E+00,-61.97547E+00
+213.5000E+00,-62.35742E+00
+214.0000E+00,-62.73937E+00
+214.5000E+00,-63.12132E+00
+215.0000E+00,-61.37206E+00
+215.5000E+00,-59.23651E+00
+216.0000E+00,-57.10096E+00
+216.5000E+00,-54.96541E+00
+217.0000E+00,-53.05699E+00
+217.5000E+00,-53.82653E+00
+218.0000E+00,-54.59607E+00
+218.5000E+00,-55.36560E+00
+219.0000E+00,-56.13514E+00
+219.5000E+00,-56.14676E+00
+220.0000E+00,-54.46996E+00
+220.5000E+00,-52.79316E+00
+221.0000E+00,-51.11636E+00
+221.5000E+00,-49.43956E+00
+222.0000E+00,-48.70004E+00
+222.5000E+00,-48.75431E+00
+223.0000E+00,-48.80858E+00
+223.5000E+00,-48.86286E+00
+224.0000E+00,-48.91713E+00
+224.5000E+00,-47.58368E+00
+225.0000E+00,-45.84288E+00
+225.5000E+00,-44.10208E+00
+226.0000E+00,-42.36128E+00
+226.5000E+00,-40.62515E+00
+227.0000E+00,-39.87763E+00
+227.5000E+00,-39.13011E+00
+228.0000E+00,-38.38259E+00
+228.5000E+00,-37.63507E+00
+229.0000E+00,-36.60913E+00
+229.5000E+00,-34.68350E+00
+230.0000E+00,-32.75786E+00
+230.5000E+00,-30.83223E+00
+231.0000E+00,-28.90660E+00
+231.5000E+00,-26.55617E+00
+232.0000E+00,-23.72276E+00
+232.5000E+00,-20.88935E+00
+233.0000E+00,-18.05594E+00
+233.5000E+00,-15.22254E+00
+234.0000E+00,-13.41032E+00
+234.5000E+00,-12.03662E+00
+235.0000E+00,-10.66293E+00
+235.5000E+00,-9.28923E+00
+236.0000E+00,-7.91554E+00
+236.5000E+00,-7.21696E+00
+237.0000E+00,-6.56826E+00
+237.5000E+00,-5.91956E+00
+238.0000E+00,-5.27085E+00
+238.5000E+00,-4.71336E+00
+239.0000E+00,-4.62478E+00
+239.5000E+00,-4.53621E+00
+240.0000E+00,-4.44763E+00
+240.5000E+00,-4.35906E+00
+241.0000E+00,-4.48638E+00
+241.5000E+00,-4.94514E+00
+242.0000E+00,-5.40389E+00
+242.5000E+00,-5.86264E+00
+243.0000E+00,-6.32139E+00
+243.5000E+00,-7.18437E+00
+244.0000E+00,-8.28876E+00
+244.5000E+00,-9.39314E+00
+245.0000E+00,-10.49753E+00
+245.5000E+00,-11.60191E+00
+246.0000E+00,-13.62062E+00
+246.5000E+00,-15.79098E+00
+247.0000E+00,-17.96135E+00
+247.5000E+00,-20.13172E+00
+248.0000E+00,-22.52988E+00
+248.5000E+00,-27.24949E+00
+249.0000E+00,-31.96911E+00
+249.5000E+00,-36.68873E+00
+250.0000E+00,-41.40834E+00
+250.5000E+00,-44.10094E+00
+251.0000E+00,-42.50555E+00
+251.5000E+00,-40.91016E+00
+252.0000E+00,-39.31477E+00
+252.5000E+00,-37.71937E+00
+253.0000E+00,-40.72058E+00
+253.5000E+00,-47.44314E+00
+254.0000E+00,-54.16570E+00
